subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
257,1,1,1,1,2,1,1,2,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258,2,2,1,3,4.5,2,1,1,2,3,4.50,1,2,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
259,2,2,1,1,2,2,2,2,3,2,4.50,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
261,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
262,1,1,1,1,2,1,2,2,1,1,2.00,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1
263,2,1,2,3,5,2,2,2,2,1,2.00,2,1,2,1,1,2,1,1,1,1,1,2,1,1,3,1,2,1,1,2
267,2,2,2,3,4.5,2,2,2,3,2,4.50,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1
270,1,1,1,1,2,1,2,1,3,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
272,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
274,1,1,1,2,4.5,2,2,2,2,2,4.50,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
276,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
278,2,2,1,2,4.5,2,2,1,2,2,4.00,2,2,1,1,1,1,1,1,2, ,1,2,1,1,1,1,1,1,1,1
280,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
281,1,1,1,1,2,1,2,2,1,1,2.00,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
283,2,1,1,2,5,2,1,1,1,1,,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1
284,1,1,1,2,4.5,1,1,1,1,2,4.50,2,2,2,3,1,1,2,2,3,2,3,1,1,1,3,1,1,1,1,1
285,1,1,1,2,4,1,1,1,2,2,4.50,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
286,1,1,1,1,2,1,1,1,1,2,4.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
288,2,1,1,2,4,2,1,1,2,2,4.50,1,2,1,1,1,1,1,2,1, ,1,1,1,1,1,1,1,1,1,1
289,1,1,1,1,2,1,1,1,3,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
290,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
291,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
292,2,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
293,1,1,1,1,2,1,1,1,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1
294,1,1,1,2,4.5,1,2,2,1,1,2.00,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
295,3,3,1,3,4.5,2,1,1,2,2,4.50,1,3,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
296,2,2,1,2,4,2,1,2,2,1,,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
297,1,1,1,1,2,1,1,1,1,2,4.50,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
304,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
305,2,2,1,2,4.5,2,1,1,3,2,5.00,1,1,2,1,1,1,2,1,3,2,1,1,3,1,1,1,1,1,1,1
311,2,1,1,1,2,2,2,2,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
312,2,2,2,2, ,1,2,2,3,2,4.50,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
314,3,3,1,2,5,1,2,2,2,2,5.00,2,1,2,3,3,1,1,1,3,2,1,1,1,1,2,1,2,1,1,1
315,2,2,1,2,5,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
316,3,3,1,4,4.5,3,2,2,3,3,5.00,2,2,2,1,3,1,3,1,2,1,1,1,3,1,1,1,1,1,1,1
317,1,1,1,1,2,1,2,1,2,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
318,1,1,1,3,5,1,2,2,2,2,4.50,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
319,1,2,1,2,5,2,2,2,3,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1
321,1,1,1,1,2,1,1,1,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
322,3,3,1,2,5,2,1,1,2,2,5.00,1,1,1,1,2,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
323,1,1,1,1,2,1,1,2,1,1,2.00,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1
324,1,1,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
326,2,1,1,2,4,3,2,2,2,1,,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
329,1,1,1,1,2,1,2,1,3,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
330,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
331,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
333,1,2,1,2,5,1,2,2,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
334,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
340,2,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
341,1,1,1,2,4.5,1,2,1,2,1,2.00,2,1,2,2,1,2,1,2,3,1,2,1,1,1,1,1,1,1,1,1
342,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
343,2,2,1,2,4.5,2,1,1,1,1,,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
344,1,1,1,1,2,2,2,1,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
345,1,2,1,1,2,1,2,2,3,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
346,1,1,1,1,2,1,1,1,1,1,2.00,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
347,1,1,1,1,2,1,2,1,2,1,2.00, ,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,2,1,1,1
348,1,1,1,1,2,2,1,2,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
349,1,1,1,1,2,1,1,1, ,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
350,1,1,1,1,2,2,1,2,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
352,2,1,1,1,2,1,1,1,1,1,2.00,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
